epochs,rewards
0,30.20497440061607
1,27.712278731838346
2,34.54515535782032
3,51.69719961460464
4,47.0038565999134
5,45.04023593127906
6,35.305371665816864
7,47.314513334761486
8,45.88331829481014
9,56.409671150372056
10,46.55479942476286
11,54.390783071402616
12,51.1033298914719
13,54.41604622435139
14,43.7143066221118
15,37.032364083818045
16,50.27807237782862
17,47.61168696412963
18,55.00380070153401
19,51.575099736731886
20,52.98526204036733
21,51.48471094210518
22,49.46259269712312
23,57.53298969749076
24,55.824380269575435
