epochs,rewards
0,0.8179318551333692
1,0.10157362116636204
2,3.0131821383693413
3,2.7713974880253955
4,3.647775047357893
5,3.594401895801913
6,4.7181284971091975
7,3.5779384163041605
8,4.310698157626192
9,3.076060551765991
10,1.921832603312934
11,4.709521623266766
12,4.072911367529319
13,5.21113326620215
14,4.914616008558781
15,4.787235097717857
16,4.6585017108241145
17,4.719767575421052
18,5.28667672278369
19,3.2805758020021836
20,4.736683155237231
21,3.969710236028412
22,5.069292164460593
23,4.816514133536454
24,4.729905978159232
25,4.57776841764459
26,4.26375611837253
27,3.6249387165371516
28,3.742182190970511
29,4.5007084571912825
30,4.706017039493937
31,4.789428294213405
32,3.5864336292065646
33,4.38682638380985
34,4.629897762613688
35,4.567430124048966
36,4.559652039390993
37,4.55054195024216
38,2.182772768116892
39,3.556408630784458
40,4.895033581468011
41,2.7328045230070375
42,3.2898930665685944
43,4.731633339591901
44,0.9603725281580378
45,4.522710467619984
46,4.637124177555263
47,4.722536162571878
48,2.4706206664266483
49,4.359018608822263
