epochs,rewards
0,15.703076767967673
1,40.74078225169697
2,48.12529887862678
3,48.79581906017854
4,51.62214256210626
5,55.34344665513509
6,58.36512259188267
7,59.507416771901944
8,64.07410640647579
9,54.03078741378336
10,60.15573683039286
11,55.360010896870016
12,51.804298423873306
13,54.12558579944593
14,54.143926586816924
15,53.31135212049831
16,52.05228765260892
17,58.09472730917906
18,60.49638695277193
19,60.603185970326564
20,57.088140076841995
21,57.42760744991195
22,56.76627083190653
23,57.95540179406393
24,49.983519515339324
