epochs,rewards
0,-0.6832302499998666
1,-0.536986749999846
2,-0.4976134999998605
3,-0.4976134999998605
4,-0.4976134999998605
5,-0.4976134999998605
6,-0.4976134999998605
7,-0.4976134999998605
8,-0.27226679999988734
9,-0.2610560699998654
10,-0.23931407999989718
11,-0.2617355399998633
12,-0.2754375199999104
13,-0.2867614599999069
14,-0.3180710199999104
15,-0.11424452000005081
16,-0.09734174999994627
17,0.04019857000003846
18,0.3181371300000402
19,0.07673912000003558
20,0.43064668999999167
21,0.8233422299999127
22,0.3221001700000059
23,0.2911684000000969
24,0.31800516000004553
25,0.3043486100000159
26,0.6701439500000461
27,0.6849467700000611
28,0.5201321500001077
29,0.6710828200000352
30,0.8139185499999702
31,0.830190630000005
32,0.6491300899999608
33,0.4893310500000414
34,0.6026150699999899
35,0.7039605299999696
36,0.5345543800000074
37,0.3734300199999874
38,0.29041340000000027
39,0.6192884400000098
40,0.5634568700000564
41,0.5558819099999335
42,0.6622554499999378
43,0.5884756300000404
44,0.2872420599999925
45,0.5614161900000303
46,0.7359593799999509
47,0.6482421199999866
48,0.4069473100000831
49,0.1997307499999934
