epochs,rewards
0,0.9106674108588786
1,2.269147295357188
2,4.2525821116030205
3,5.36281966381893
4,8.669890592395868
5,5.696104112487155
6,7.584292069553977
7,8.439798290067401
8,8.818713112960408
9,7.185743425684699
10,8.369844622901956
11,8.441142032656801
12,7.465658423437116
13,8.231720821466414
14,6.701926855707829
15,7.019971874904685
16,10.013410161187641
17,9.687501372834827
18,9.527069082649774
19,8.297296864979531
20,8.56615097037945
21,7.735018498974777
22,8.339159002365859
23,7.5625483078465505
24,7.3583771836480905
25,7.337893468078027
26,8.61155580179136
27,8.723681776195802
28,8.382888490102225
29,9.346544719814442
30,8.329661545768353
31,8.970938618636692
32,7.465281813425562
33,8.920863214165742
34,9.069679566173061
35,8.89371330195521
36,9.048028793760366
37,8.249405381577501
38,7.659246456256685
39,7.805740869435285
40,8.555032160821918
41,9.034171514579858
42,9.491217614014968
43,7.586150665219948
44,8.557684507691521
45,8.413641549151162
46,8.005987594190312
47,8.282361920650882
48,7.968044698466503
49,8.443352419442718
