epochs,rewards
0,-0.1115233053156528
1,2.240922411829571
2,1.881742775491979
3,2.4481806978958964
4,3.883584134024809
5,4.140108580879309
6,4.041270721526713
7,4.025321527641513
8,3.6342969663747726
9,4.504011836883404
10,4.2861242440722975
11,4.145626341673692
12,4.217183584380802
13,4.651233993471404
14,4.465382240237781
15,4.7907594515011365
16,4.140376292051373
17,4.101285093440355
18,4.481940392277462
19,4.443504822816202
20,3.9580201902239542
21,3.918248636835131
22,4.252249390668361
23,4.713385378191759
24,4.351462727373523
25,4.939572062724973
26,5.246931550642831
27,5.005665778540891
28,4.826763957978231
29,5.138594577999345
30,5.688287266336845
31,5.409024305937738
32,5.374234704452707
33,5.418598351302695
34,4.577780431497425
35,4.882850271621231
36,4.555417076886448
37,4.124694930162153
38,5.056056440441781
39,5.019433095567538
40,5.007381161628155
41,4.489234015568499
42,4.633069057864258
43,4.706510558282928
44,4.572951801023095
45,5.250995210131359
46,5.1941439179769455
47,5.494227677040331
48,4.981015749834605
49,5.116255064062791
