epochs,rewards
0,-53.13749513000001
1,-54.60969784999998
2,-51.68979821999999
3,-52.028099669999996
4,-50.636000859999996
5,-51.35189991999998
6,-51.04430252000001
7,-51.683999999999955
8,-51.377300270000006
9,-51.730898940000024
10,-51.34259964999999
11,-50.92669947999997
12,-52.51879985999999
13,-51.53200016000001
14,-52.49779990000001
15,-50.83319942
16,-51.52049849999998
17,-51.34229931000001
18,-52.10970155000001
19,-50.80739862000001
20,-51.56119901999996
21,-52.423501610000045
22,-52.116699519999955
23,-52.227900680000005
24,-52.17670110000001
25,-51.585100110000006
26,-51.96730010999998
27,-52.238799739999976
28,-52.10480085000001
29,-51.79140046999995
30,-51.38510039999999
31,-51.67230028999996
32,-51.45160001999999
33,-51.417900090000025
34,-51.86980112999999
35,-51.25479981999999
36,-51.43840059
37,-51.438400170000044
38,-51.70100081000002
39,-51.679600979999975
40,-51.69960054000001
41,-51.87390066999998
42,-51.438000269999996
43,-51.46250035999999
44,-51.528200139999946
45,-51.696700559999975
46,-51.475000249999994
47,-51.32459975999997
48,-51.483600549999984
49,-51.410600259999974
50,-51.51640067999998
51,-51.308099940000005
52,-52.15079963999998
53,-51.65590079
54,-51.59020048999997
55,-51.97320089999995
56,-51.98970009000002
57,-51.76840027999997
58,-51.64400000999996
59,-51.98060034
60,-51.80109992999997
61,-51.63369958999997
62,-51.383699809999975
63,-51.37750026
64,-51.59540006999994
65,-51.66039992999997
66,-51.500799799999996
67,-51.466000089999994
68,-51.36970001000003
69,-51.76329986999999
70,-51.36380004999994
71,-51.51840071
72,-51.46810007999998
73,-51.951799909999984
74,-51.36970002999996
75,-51.484600219999976
76,-51.41480001999999
77,-51.61480094
78,-51.909700519999944
79,-51.59850068999998
80,-51.746300879999964
81,-51.509200119999974
82,-51.69490044999997
83,-51.84540067
84,-52.09949980999996
85,-51.63650049999995
86,-51.58610040999998
87,-51.67240104
88,-51.721700959999964
89,-51.81180046
90,-51.58300046999995
91,-51.88800173999999
92,-51.43530051999996
93,-51.46600001999997
94,-51.711900119999974
95,-51.50690035999999
96,-51.70990006999995
97,-51.81250037
98,-51.677500140000035
99,-51.32269989999996
100,-51.81559939999998
101,-51.70620021000004
102,-51.50089996999998
103,-51.39020015
104,-51.62720064999999
105,-51.549200739999954
106,-51.664200449999974
107,-51.66410037
108,-51.63540029999998
109,-51.686600299999974
110,-51.93969998999999
111,-51.30410004999997
112,-51.557500700000006
113,-51.73730064999995
114,-51.804100419999976
115,-51.89750040999998
116,-51.96819976999998
117,-51.46000029000001
118,-51.61480021999998
119,-51.58830022999996
120,-51.76869969999998
121,-51.34949981
122,-51.453899859999964
123,-51.623000289999965
124,-51.551500459999964
125,-51.45480055000002
